"IUCN_binomial","trait_binomial","phylogeny_binomial","body_mass_median","litter_clutch_size","activity","hab_breadth","volant","diet_5cat","range_size_decimaldegrees","range_size_km2","threat"
"Anourosorex_schmidi","Anourosorex_schmidi","Anourosorex_schmidi",20,2.82,2,1,1,4,0.722300094961,7930.61910489536,"DD"
"Anourosorex_squamipes","Anourosorex_squamipes","Anourosorex_squamipes",20,2.82,2,1,1,4,108.70716070401,1193541.83433639,"LC"
"Anourosorex_yamashinai","Anourosorex_yamashinai","Anourosorex_yamashinai",20,2.82,2,3,1,4,3.02529089137,34312.5745196579,"LC"
"Antechinomys_laniger","Antechinomys_laniger","Antechinomys_laniger",25.57,5.995,2,4,1,4,220.910065821426,2448184.07406601,"LC"
"Antechinus_adustus","Antechinus_adustus","Antechinus_adustus",33.25,6,2,1,1,4,0.4195507173109,4946.32284565712,"LC"
"Antechinus_agilis","Antechinus_agilis","Antechinus_agilis",22.13,8.75,2,3,1,4,16.5563403812,164008.379963976,"LC"
"Antechinus_bellus","Antechinus_bellus","Antechinus_bellus",38.73,10.08,2,2,1,4,1.7138390905713,20702.7166959776,"VU"
"Antechinus_flavipes","Antechinus_flavipes","Antechinus_flavipes",44.665,9.27,2,7,1,4,94.4573847596262,1012692.62239469,"LC"
"Antechinus_godmani","Antechinus_godmani","Antechinus_godmani",75.74,5.29,2,1,1,4,0.30643838933,3619.8413126368,"NT"
"Antechinus_leo","Antechinus_leo","Antechinus_leo",70.09,8.6425,2,2,1,4,0.366271880298,4420.36251553825,"LC"
"Antechinus_minimus","Antechinus_minimus","Antechinus_minimus",52.56,7.19,2,4,1,4,8.22319086834863,76340.1308008561,"LC"
"Antechinus_stuartii","Antechinus_stuartii","Antechinus_stuartii",27.85,6.9175,2,3,1,4,11.3019174751,118724.148338622,"LC"
"Antechinus_subtropicus","Antechinus_subtropicus","Antechinus_subtropicus",53.18222222,NA,2,1,1,4,0.87928133540004,9659.10622482064,"LC"
"Antechinus_swainsonii","Antechinus_swainsonii","Antechinus_swainsonii",58.69,8.18,2,4,1,4,31.3765355250799,315113.904535961,"LC"
"Anthops_ornatus","Anthops_ornatus","Anthops_ornatus",17.94,NA,2,1,2,4,1.7453424747555,21433.2260767017,"DD"
"Antidorcas_marsupialis","Antidorcas_marsupialis","Antidorcas_marsupialis",33571.24,1,2,3,1,1,174.853469945,1958415.47808785,"LC"
"Antilocapra_americana","Antilocapra_americana","Antilocapra_americana",46082.92,1.91,2,3,1,1,215.865110284623,2009743.00399172,"LC"
"Antilope_cervicapra","Antilope_cervicapra","Antilope_cervicapra",37500,1.11,1,3,1,1,152.91024369627,1762729.16347796,"NT"
"Antrozous_pallidus","Antrozous_pallidus","Antrozous_pallidus",22,1.89,2,4,2,4,428.34119102426,4379351.60165615,"LC"
"Aonyx_capensis","Aonyx_capensis","Aonyx_capensis",19322.22,2.59,2,12,1,4,990.233600551,11887326.2817208,"NT"
