"IUCN_binomial","trait_binomial","phylogeny_binomial","body_mass_median","litter_clutch_size","activity","hab_breadth","volant","diet_5cat","range_size_decimaldegrees","range_size_km2","threat"
"Aegialomys_galapagoensis","Aegialomys_galapagoensis","Aegialomys_galapagoensis",63.51,NA,2,3,1,1,0.0465345199419,576.597007220163,"VU"
"Aegialomys_xanthaeolus","Aegialomys_xanthaeolus","Aegialomys_xanthaeolus",79.79,NA,2,5,1,1,21.2676215101,260626.364121411,"LC"
"Aepeomys_lugens","Aepeomys_lugens","Aepeomys_lugens",37,NA,2,3,1,1,0.779632929932,9558.62941990524,"LC"
"Aepeomys_reigi","Aepeomys_reigi","Aepeomys_reigi",37,NA,2,3,1,1,0.455148530226,5562.99922679296,"VU"
"Aepyceros_melampus","Aepyceros_melampus","Aepyceros_melampus",52500.08,0.99,2,3,1,1,293.76883440523,3516041.76086875,"LC"
"Aepyprymnus_rufescens","Aepyprymnus_rufescens","Aepyprymnus_rufescens",2820,1.0225,2,3,1,1,50.4455923198,569595.866061368,"LC"
"Aeretes_melanopterus","Aeretes_melanopterus","Aeretes_melanopterus",499.8322129,NA,2,1,1,1,5.37963958949,56412.1359425482,"NT"
"Aeromys_tephromelas","Aeromys_tephromelas","Aeromys_tephromelas",1187,1.0525,2,1,1,1,29.5050043638774,364597.203386551,"DD"
"Aeromys_thomasi","Aeromys_thomasi","Aeromys_thomasi",1430.19,NA,2,2,1,1,36.2951895342,449186.470259986,"LC"
"Aethalops_aequalis","Aethalops_aequalis","Aethalops_aequalis",15,0.995,2,3,2,2,7.568076262929,93611.7866562269,"LC"
"Aethalops_alecto","Aethalops_alecto","Aethalops_alecto",15,0.99,2,1,2,2,12.8994264033,148416.35812329,"LC"
"Aethomys_bocagei","Aethomys_bocagei","Aethomys_bocagei",71.87194402,NA,2,3,1,1,20.87213069,254932.735544492,"LC"
"Aethomys_chrysophilus","Aethomys_chrysophilus","Aethomys_chrysophilus",79.7,3.2175,2,6,1,1,353.37316748867,4177425.79163047,"LC"
"Aethomys_granti","Aethomys_granti","Aethomys_granti",40,NA,2,2,1,1,12.6115543138,132145.510849304,"LC"
